"ID","EID","SF","LACT","Event","AGE","Date","Remark","Protocols","Technician"
1030349,"-               ",1,0,"PNEUMON    ",121,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030350,"-               ",1,0,"PNEUMON    ",117,2025-01-05,"DRAXXIN         "," Draxxin        "," Luis"
1030352,"-               ",1,0,"PNEUMON    ",113,2025-01-01,"DRAXXIN BENAMI  "," Draxxin        "," Pablo"
1030356,"840003287384149",1,0,"PNEUMON    ",116,2025-01-04,"DRAXXIN         "," Draxxin        "," Luis"
1030356,"840003287384149",1,0,"PNEUMON    ",118,2025-01-06,"BAY/BANA"," Baytril+Banamin"," Luis"
1030356,"840003287384149",1,0,"PNEUMON    ",123,2025-01-11,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030358,"840003287384150",1,0,"PNEUMON    ",118,2025-01-06,"DRAXXIN         "," Draxxin        "," Pablo"
1030361,"-               ",1,0,"PINKEYE    ",112,2025-01-01,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030364,"-               ",1,0,"PNEUMON    ",122,2025-01-11,"DRAXXIN         "," Draxxin        "," Luis"
1030366,"-               ",1,0,"PNEUMON    ",115,2025-01-04,"BAY/BANA"," Baytril+Banamin"," Luis"
1030366,"-               ",1,0,"PNEUMON    ",117,2025-01-06,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030372,"-               ",1,0,"PNEUMON    ",120,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030373,"-               ",1,0,"PNEUMON    ",116,2025-01-05,"DRAXXIN         "," Draxxin        "," Luis"
1030373,"-               ",1,0,"PNEUMON    ",122,2025-01-11,"BAY/BANA"," Baytril+Banamin"," Luis"
1030374,"-               ",1,0,"PNEUMON    ",119,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030375,"840003287384010",1,0,"PNEUMON    ",115,2025-01-05,"NUF/BANA"," Nuflor+Banamine"," Pablo"
1030379,"840003287384003",1,0,"FEVER      ",111,2025-01-01,"BANAMINE        "," Banamine       "," Luis"
1030380,"-               ",1,0,"PNEUMON    ",118,2025-01-08,"DRAXXIN         "," Draxxin        "," Luis"
1030380,"-               ",1,0,"FEVER      ",121,2025-01-11,"BANAMINE        "," Banamine       "," Luis"
1030386,"-               ",1,0,"PNEUMON    ",119,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030394,"840003287383994",1,0,"PNEUMON    ",120,2025-01-11,"DRAXXIN         "," Draxxin        "," Pedro"
1030398,"840003287384815",1,0,"PNEUMON    ",113,2025-01-04,"NUF/BANA"," Nuflor+Banamine"," Pedro"
1030398,"840003287384815",1,0,"FEVER      ",115,2025-01-06,"BANAMINE        "," Banamine       "," Pablo"
1030404,"840003287384824",1,0,"PINKEYE    ",111,2025-01-02,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030404,"840003287384824",1,0,"PNEUMON    ",113,2025-01-04,"ZAC/BANA"," Zacran+Banamine"," Pedro"
1030405,"-               ",1,0,"PINKEYE    ",113,2025-01-05,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030405,"-               ",1,0,"PNEUMON    ",117,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030406,"-               ",1,0,"PNEUMON    ",117,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030407,"-               ",1,0,"PINKEYE    ",117,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030412,"840003287384816",1,0,"PNEUMON    ",112,2025-01-04,"ZAC/BANA"," Zacran+Banamine"," Pedro"
1030419,"-               ",1,0,"PNEUMON    ",116,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030420,"840003287384810",1,0,"PNEUMON    ",108,2025-01-01,"BAY/BANA"," Baytril+Banamin"," Luis"
1030426,"-               ",1,0,"PNEUMON    ",111,2025-01-04,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030426,"-               ",1,0,"FEVER      ",112,2025-01-05,"BANAMINE        "," Banamine       "," "
1030429,"-               ",1,0,"PNEUMON    ",111,2025-01-04,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030433,"840003287384791",1,0,"PNEUMON    ",107,2025-01-01,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030433,"840003287384791",1,0,"FEVER      ",107,2025-01-01,"BANAMINE        "," Banamine       "," Fransisco"
1030433,"840003287384791",1,0,"PNEUMON    ",111,2025-01-05,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030439,"840003287384655",1,0,"PNEUMON    ",110,2025-01-05,"BAY/BANA"," Baytril+Banamin"," Luis"
1030439,"840003287384655",1,0,"PNEUMON    ",114,2025-01-09,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030441,"840003287384670",1,0,"PNEUMON    ",106,2025-01-01,"DRAXXIN         "," Draxxin        "," Luis"
1030441,"840003287384670",1,0,"PNEUMON    ",110,2025-01-05,"BAY/BANA"," Baytril+Banamin"," Luis"
1030448,"840003287384669",1,0,"PNEUMON    ",106,2025-01-01,"DRAXXIN         "," Draxxin        "," Fransisco"
1030448,"840003287384669",1,0,"PNEUMON    ",110,2025-01-05,"BAY/BANA"," Baytril+Banamin"," Luis"
1030448,"840003287384669",1,0,"PNEUMON    ",116,2025-01-11,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030460,"840003287384538",1,0,"PNEUMON    ",104,2025-01-01,"BAY/BANA"," Baytril+Banamin"," Luis"
1030460,"840003287384538",1,0,"PNEUMON    ",114,2025-01-11,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030463,"840003287384550",1,0,"PNEUMON    ",108,2025-01-05,"DRAXXIN         "," Draxxin        "," Luis"
1030470,"840003287384549",1,0,"PNEUMON    ",104,2025-01-01,"BAY/BANA"," Baytril+Banamin"," Luis"
1030472,"840003287384544",1,0,"PNEUMON    ",108,2025-01-05,"DRAXXIN         "," Draxxin        "," Luis"
1030473,"840003287384548",1,0,"PNEUMON    ",114,2025-01-11,"DRAXXIN         "," Draxxin        "," Luis"
1030474,"840003287384547",1,0,"PNEUMON    ",113,2025-01-10,"DRAXXIN         "," Draxxin        "," Pablo"
1030476,"840003287384691",1,0,"PNEUMON    ",112,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030477,"840003287384695",1,0,"PINKEYE    ",109,2025-01-06,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030480,"840003287384694",1,0,"PNEUMON    ",107,2025-01-05,"DRAXXIN         "," Draxxin        "," Luis"
1030482,"840003287384710",1,0,"PNEUMON    ",111,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030485,"840003287384697",1,0,"PNEUMON    ",110,2025-01-08,"DRAXXIN         "," Draxxin        "," Luis"
1030489,"840003287384709",1,0,"PNEUMON    ",103,2025-01-01,"DRAXXIN         "," Draxxin        "," Luis"
1030489,"840003287384709",1,0,"FEVER      ",106,2025-01-04,"BANAMINE        "," Banamine       "," "
1030489,"840003287384709",1,0,"PNEUMON    ",107,2025-01-05,"BAY/BANA"," Baytril+Banamin"," Luis"
1030489,"840003287384709",1,0,"PNEUMON    ",110,2025-01-08,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030490,"840003287384700",1,0,"PNEUMON    ",105,2025-01-04,"BAY/BANA"," Baytril+Banamin"," Alejandro"
1030492,"840003287384708",1,0,"PNEUMON    ",104,2025-01-03,"DRAXXIN         "," Draxxin        "," Luis"
1030493,"840003287384703",1,0,"PNEUMON    ",104,2025-01-03,"DRAXXIN         "," Draxxin        "," Luis"
1030494,"840003287384705",1,0,"PNEUMON    ",106,2025-01-05,"BAY/BANA"," Baytril+Banamin"," Luis"
1030497,"840003287384750",1,0,"PNEUMON    ",106,2025-01-05,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030497,"840003287384750",1,0,"PNEUMON    ",109,2025-01-08,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030497,"840003287384750",1,0,"FEVER      ",112,2025-01-11,"BANAMINE        "," Banamine       "," Luis"
1030502,"840003287384749",1,0,"PNEUMON    ",102,2025-01-01,"BAY/BANA"," Baytril+Banamin"," Luis"
1030502,"840003287384749",1,0,"PNEUMON    ",109,2025-01-08,"ZAC/BANA"," Zacran+Banamine"," Pablo"
1030507,"840003287384732",1,0,"PNEUMON    ",111,2025-01-11,"DRAXXI          "," Draxxin        "," Luis"
1030511,"840003287384740",1,0,"PNEUMON    ",105,2025-01-05,"NUF/BANA"," Nuflor+Banamine"," Alejandro"
1030515,"840003287384758",1,0,"PNEUMON    ",109,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030516,"840003287384766",1,0,"PNEUMON    ",101,2025-01-01,"NUF/BANA"," Nuflor+Banamine"," Fransisco"
1030516,"840003287384766",1,0,"PNEUMON    ",110,2025-01-10,"DRAXXIN         "," Draxxin        "," Pablo"
1030527,"840003287384756",1,0,"PNEUMON    ",100,2025-01-01,"BAY/BANA"," Baytril+Banamin"," Luis"
1030529,"840003287384760",1,0,"PNEUMON    ",104,2025-01-05,"BAY/BANA"," Baytril+Banamin"," Luis"
1030530,"840003287384768",1,0,"PNEUMON    ",100,2025-01-01,"BAY/BANA"," Baytril+Banamin"," Fransisco"
1030533,"840003287384787",1,0,"PNEUMON    ",107,2025-01-08,"DRAXXIN         "," Draxxin        "," Luis"
1030534,"840003297405188",1,0,"PNEUMON    ",107,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030539,"840003287384747",1,0,"PNEUMON    ",104,2025-01-06,"BAY/BANA"," Baytril+Banamin"," Luis"
1030540,"840003287384744",1,0,"PINKEYE    ",102,2025-01-04,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030541,"840003287384788",1,0,"PNEUMON    ",109,2025-01-11,"DRAXXIN         "," Draxxin        "," Luis"
